n_trials,min_range_pct,stretched_threshold_pct,stop_buffer_pct,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
300,0.015,0.02,0.015,24,30,0.3333333333333333,0.689039304799779,-0.5452478814019233,0.16602653402141682,-0.07052412806020625,-0.0051257085815786495,-0.01751821019921293,-0.15377125744735948,10,20
300,0.01,0.02,0.015,24,30,0.3333333333333333,0.689039304799779,-0.5452478814019233,0.16602653402141682,-0.07052412806020625,-0.0051257085815786495,-0.01751821019921293,-0.15377125744735948,10,20
300,0.025,0.02,0.01,24,30,0.3333333333333333,0.6784980041545318,-0.5702268301483313,0.1767326752633504,-0.07363808593475629,-0.005381799417590634,-0.01922572598407027,-0.16145398252771903,10,20
300,0.015,0.02,0.01,24,30,0.3333333333333333,0.6784980041545318,-0.5702268301483313,0.1767326752633504,-0.07363808593475629,-0.005381799417590634,-0.01922572598407027,-0.16145398252771903,10,20
300,0.01,0.02,0.01,24,30,0.3333333333333333,0.6784980041545318,-0.5702268301483313,0.1767326752633504,-0.07363808593475629,-0.005381799417590634,-0.01922572598407027,-0.16145398252771903,10,20
300,0.005,0.02,0.01,24,30,0.3333333333333333,0.6784980041545318,-0.5702268301483313,0.1767326752633504,-0.07363808593475629,-0.005381799417590634,-0.01922572598407027,-0.16145398252771903,10,20
300,0.02,0.02,0.01,24,30,0.3333333333333333,0.6784980041545318,-0.5702268301483313,0.1767326752633504,-0.07363808593475629,-0.005381799417590634,-0.01922572598407027,-0.16145398252771903,10,20
300,0.005,0.02,0.02,24,30,0.3333333333333333,0.6718258069357986,-0.5749714293065771,0.1730863282223794,-0.07593954481706577,-0.005548047263349107,-0.012018636997148825,-0.1664414179004732,10,20
300,0.02,0.02,0.02,24,30,0.3333333333333333,0.6718258069357986,-0.5749714293065771,0.1730863282223794,-0.07593954481706577,-0.005548047263349107,-0.012018636997148825,-0.1664414179004732,10,20
300,0.01,0.02,0.02,24,30,0.3333333333333333,0.6718258069357986,-0.5749714293065771,0.1730863282223794,-0.07593954481706577,-0.005548047263349107,-0.012018636997148825,-0.1664414179004732,10,20
300,0.025,0.02,0.02,24,30,0.3333333333333333,0.6718258069357986,-0.5749714293065771,0.1730863282223794,-0.07593954481706577,-0.005548047263349107,-0.012018636997148825,-0.1664414179004732,10,20
300,0.015,0.02,0.02,24,30,0.3333333333333333,0.6718258069357986,-0.5749714293065771,0.1730863282223794,-0.07593954481706577,-0.005548047263349107,-0.012018636997148825,-0.1664414179004732,10,20
300,0.015,0.02,0.015,48,30,0.3333333333333333,0.6486908768264366,-0.687078423358901,0.2631356814230755,-0.10136315347449754,-0.0075401839562389645,-0.02509293912350789,-0.22620551868716893,10,20
300,0.01,0.02,0.015,48,30,0.3333333333333333,0.6486908768264366,-0.687078423358901,0.2631356814230755,-0.10136315347449754,-0.0075401839562389645,-0.02509293912350789,-0.22620551868716893,10,20
300,0.025,0.02,0.015,48,30,0.3333333333333333,0.6486908768264366,-0.687078423358901,0.2631356814230755,-0.10136315347449754,-0.0075401839562389645,-0.02509293912350789,-0.22620551868716893,10,20
300,0.02,0.02,0.015,48,30,0.3333333333333333,0.6486908768264366,-0.687078423358901,0.2631356814230755,-0.10136315347449754,-0.0075401839562389645,-0.02509293912350789,-0.22620551868716893,10,20
300,0.005,0.02,0.015,48,30,0.3333333333333333,0.6486908768264366,-0.687078423358901,0.2631356814230755,-0.10136315347449754,-0.0075401839562389645,-0.02509293912350789,-0.22620551868716893,10,20
300,0.01,0.025,0.005,24,19,0.21052631578947367,0.5041768747865247,-0.7328806947693454,0.13866340236955832,-0.07450080085742605,-0.008901911630934227,-0.015107407537529437,-0.1691363209877503,4,15
