n_trials,min_range_pct,extreme_proximity_pct,stop_buffer_pct,tp_fraction,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
1500,0.015,0.15,0.01,0.7,6,132,0.3484848484848485,0.598907910549913,-1.479573908421644,0.5172126198896017,-0.18632990667131888,-0.003796870307372296,-0.007841597882597902,-0.5011868805731431,46,86
1500,0.025,0.15,0.005,0.6,4,88,0.3409090909090909,0.5434208194015125,-1.493678416215613,0.3952650941801836,-0.14100156752163662,-0.004150605806777211,-0.011994178375774074,-0.3652533109963946,30,58
1500,0.02,0.15,0.01,0.5,8,114,0.40350877192982454,0.5852292688529425,-1.495808714608616,0.4345224416124499,-0.15912403704940226,-0.003689276596425102,-0.004949389911471536,-0.4205775319924616,46,68
1500,0.025,0.2,0.015,0.6,8,133,0.3609022556390977,0.6022981090074837,-1.5106544396732078,0.5523579205802133,-0.2082832487436196,-0.004155058087961114,-0.005407591012283314,-0.5526227256988281,48,85
1500,0.025,0.2,0.015,0.5,8,133,0.39097744360902253,0.6033502802623105,-1.5269071732153197,0.5214086552745221,-0.20040168969667704,-0.003989455784678245,-0.005003570274804902,-0.5305976193622066,52,81
1500,0.025,0.2,0.015,0.6,4,133,0.39849624060150374,0.5835108372773404,-1.5350307870177238,0.4724398424990637,-0.1810359374316297,-0.003580852116683066,-0.0048832200804326716,-0.47625333151884774,53,80
1500,0.02,0.15,0.0075,0.6,6,114,0.32456140350877194,0.5761431075983104,-1.5456612234404696,0.47187474566306337,-0.16839814983410029,-0.0039267193987892295,-0.009047902146369103,-0.44764601146197214,37,77
1500,0.025,0.15,0.01,0.4,6,88,0.4431818181818182,0.5386160664081383,-1.5645987197000495,0.36465564984302534,-0.14075449752659486,-0.004152907762205119,-0.0049967959376656535,-0.3654558830740505,39,49
1500,0.015,0.15,0.01,0.7,8,132,0.3484848484848485,0.5779175829350532,-1.5647344666006855,0.5294809808907344,-0.19767415929560606,-0.004062694008707815,-0.005668925932205654,-0.5362756091494316,46,86
1500,0.025,0.15,0.005,0.5,4,88,0.36363636363636365,0.5379292675604965,-1.5726963897708008,0.36889157913117093,-0.13923921437850795,-0.004108055059164514,-0.011940900907286493,-0.3615088452064772,32,56
1500,0.015,0.15,0.0075,0.7,6,132,0.3181818181818182,0.5783848885983928,-1.5945120580485526,0.521838719826655,-0.19286027861787314,-0.003962643536135324,-0.00959206648565739,-0.5230689467698627,42,90
1500,0.02,0.15,0.015,0.6,4,114,0.39473684210526316,0.5384769743872543,-1.5973052231751232,0.46581025484454447,-0.17139585341574104,-0.004009150808549547,-0.0051280743101813405,-0.4570431921746484,45,69
1500,0.02,0.15,0.0075,0.5,6,114,0.37719298245614036,0.5696972929871902,-1.6071467802557589,0.43071040080048206,-0.16122416365280523,-0.0037586601062581703,-0.008024728845479633,-0.4284872521134314,43,71
1500,0.02,0.15,0.015,0.4,8,114,0.5087719298245614,0.5385176354236788,-1.6114697333717891,0.44420522201385815,-0.16514401294265446,-0.003855084520883904,0.0018026102703271873,-0.43947963538076507,58,56
1500,0.025,0.2,0.01,0.7,4,133,0.3609022556390977,0.559997494109088,-1.6275885457455166,0.5054345443150404,-0.19347366825876922,-0.0038621962584976023,-0.005858753860358496,-0.5136721023801811,48,85
1500,0.02,0.15,0.01,0.6,4,114,0.38596491228070173,0.5378001432090946,-1.6347097640839183,0.465212609512936,-0.1680068778090048,-0.003931061588049743,-0.005533641518133067,-0.4481410210376707,44,70
1500,0.02,0.15,0.005,0.7,6,114,0.2543859649122807,0.5514472067260474,-1.6361005287187402,0.4926695597341266,-0.1880326690291323,-0.004435135367390082,-0.013032883325622349,-0.5056054318824693,29,85
1500,0.02,0.15,0.015,0.4,6,114,0.5,0.535603497421269,-1.6379004654397211,0.43186915466674336,-0.1635012182765393,-0.0038183781577402895,0.0004887134846094277,-0.435295109982393,57,57
1500,0.025,0.2,0.01,0.7,8,133,0.3157894736842105,0.5762801206414537,-1.6402911854882172,0.5739664079312402,-0.2288324152830633,-0.004635738393177291,-0.008614327084716449,-0.6165532062925798,42,91
1500,0.02,0.15,0.0075,0.6,8,114,0.3157894736842105,0.5533449326118088,-1.6460268299020429,0.4870131156565008,-0.18014020813235965,-0.004236679251085748,-0.008730303165149203,-0.48298143462377524,36,78
1500,0.02,0.2,0.015,0.7,8,175,0.35428571428571426,0.6003400605135585,-1.6506729174837456,0.6188121516409684,-0.24588900267447789,-0.003868899793723803,-0.005366425255745861,-0.6770574639016655,62,113
1500,0.025,0.15,0.01,0.4,8,88,0.4318181818181818,0.5167280512837792,-1.6572720221464048,0.3854350542047086,-0.15214435070744348,-0.004521925742653102,-0.005382660263436534,-0.39792946535347296,38,50
1500,0.025,0.2,0.01,0.7,6,133,0.3157894736842105,0.5762426384185022,-1.6676826212707565,0.5543252300468293,-0.22172475636425004,-0.0044846581342085756,-0.00930652502507449,-0.5964595318497405,42,91
1500,0.025,0.2,0.015,0.6,6,133,0.3533834586466165,0.5769168077001896,-1.6682764982544005,0.532879947924669,-0.2166290515260384,-0.0043714371739405665,-0.0074716851843581785,-0.5814011441340954,47,86
1500,0.02,0.15,0.0075,0.6,4,114,0.3684210526315789,0.5377003454147676,-1.6690126095586109,0.4556489579053852,-0.16589407658063615,-0.0038836051993125322,-0.006671047170004089,-0.4427309927216287,42,72
1500,0.02,0.15,0.005,0.7,8,114,0.2631578947368421,0.5443050686551165,-1.670224116190306,0.49593051277071537,-0.19227208798597217,-0.004549073905082458,-0.0130847173229737,-0.5185944251794001,30,84
1500,0.02,0.15,0.015,0.5,4,114,0.42105263157894735,0.5281059262290794,-1.6869207085987667,0.4407881850016762,-0.17216889478991393,-0.004041850854153197,-0.0045474688975941134,-0.46077099737346444,48,66
