lookback_days,breakout_proximity_pct,entry_hour_utc,exit_hour_utc,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
20,0.0,21,13,11,0.45454545454545453,2.0444549648882258,0.6476405102501808,0.08710209298774538,0.05996927072690661,0.009408668404167297,-0.0008031034643223049,0.10349535244584027,5,6
5,0.0,20,13,21,0.38095238095238093,1.8500001276483802,0.646811713201825,0.07162371453252468,0.061753654208200226,0.007339857734625207,-0.002683847529014545,0.15413701242712935,8,13
10,0.0,21,15,13,0.6153846153846154,1.8636425619212096,0.5988001772111547,0.0877067160863625,0.04921937257105169,0.007102237101860809,0.004650694171945391,0.09232908232419051,8,5
10,0.0,20,13,16,0.375,1.9052620233821735,0.5931027259587633,0.07866253521507767,0.05370433051349632,0.008438080209108993,-0.0029714391417792066,0.13500928334574389,6,10
10,0.005,21,15,39,0.46153846153846156,1.4927828403521421,0.5908166918107388,0.09911280139762915,0.06851419122958746,0.004661275344592453,-0.001246611177170104,0.18178973843910567,18,21
20,0.0,21,15,11,0.5454545454545454,1.804471620069543,0.580955944715485,0.08770671608636252,0.04939023725805902,0.007818483511979913,0.015390811165991097,0.08600331863177904,6,5
15,0.0,21,14,12,0.5,1.8408956298575825,0.5780218823733285,0.08872676569092043,0.05271481493046015,0.008320891381824168,0.0027715524752022413,0.09985069658189002,6,6
10,0.0,20,14,16,0.5,1.820274633354793,0.5761660178683844,0.09664587301555555,0.05364319072982471,0.00847909029681777,0.0010518642904341798,0.13566544474908432,8,8
10,0.005,22,13,35,0.42857142857142855,1.4948919679981991,0.5706166786429014,0.11272553174400596,0.05502049327501202,0.004121538323358786,-0.004459341522238994,0.1442538413175575,15,20
15,0.0,21,15,12,0.5833333333333334,1.820140153706343,0.5690738873701304,0.0877067160863624,0.04649338895825683,0.0073065323460204295,0.008532940343228594,0.08767838815224516,7,5
5,0.0,20,14,21,0.47619047619047616,1.6638087573861038,0.5615141498076066,0.08499919664615117,0.053796406763495286,0.006515869750404036,-0.004442041817194868,0.13683326475848476,10,11
10,0.005,20,15,42,0.42857142857142855,1.417054134728718,0.5599266092231319,0.103837271246854,0.07113494016198918,0.004581804538835034,-0.0056483414559020916,0.19243579063107144,18,24
10,0.005,20,14,42,0.40476190476190477,1.4318957045607765,0.5547638986838169,0.10847478903019843,0.06954031528423665,0.004476837871699817,-0.0048153000716120746,0.18802719061139234,17,25
20,0.0,20,14,12,0.5,1.7343244067652295,0.5518027441720693,0.09664587301555545,0.05629308097130514,0.009004046072818904,0.0022952294533679194,0.10804855287382684,6,6
10,0.0,20,15,16,0.5625,1.6688783897191346,0.5460137149836122,0.11121896323017948,0.04965164508257369,0.007894379969484926,0.00895829836531329,0.12631007951175882,9,7
10,0.005,20,13,42,0.38095238095238093,1.4482046234723729,0.5433590781639572,0.10532299821258684,0.0636250884501186,0.004076705304366024,-0.004419254922324238,0.171221622783373,16,26
10,0.0,21,14,13,0.46153846153846156,1.7495186939934486,0.5414659606076384,0.08872676569092079,0.04904923552522411,0.007203751114272828,-0.002660277404514152,0.09364876448554676,6,7
